Unnamed: 0,Title,Video ID,Published At,Keyword,Likes,Comments,Views,pop_score
129,ASMR Gaming ð´ Fortnite 1 Kill = 1 Trigger Relaxing Mouth Sounds ð®ð§ Controller Sounds + Whispering ð¤,mqc6QqoGNWI,2022/8/24,gaming,563,85,14537,6.106197380117346e-05
130,1000 IQ Moments in Sports,AqvyzO3IPXc,2022/3/31,sports,39944,1677,5093587,0.001913928172760444
131,Chelsea v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 8/14/2022 | NBC Sports,0RiGydlyTcM,2022/8/14,sports,19987,2358,1335282,0.0017514780138262493
132,Beach Bunny - Sports (Official Audio),szeXkBYq5HU,2018/1/9,sports,275577,5431,15040548,0.009748702428118079
133,Team USA SHOCKS JAMAICA for women&#39;s 4x100 world title | NBC Sports,MnCilaL_3yo,2022/7/24,sports,62969,9809,4288833,0.007046287747290623
134,Craziest &quot;You Have to See It to Believe It&quot; Moments in Sports History,jxlygT8QMGM,2022/4/18,sports,12785,489,1945140,0.0006208193845996641
135,All Sports Baseball Battle | Dude Perfect,dwV04XuiWq4,2019/4/22,sports,778342,20737,57369066,0.029838034088960023
136,Impossible Moments in Sports,YaVp_xXotxo,2021/6/20,sports,56480,2515,12272628,0.0032512555835257197
137,Manchester United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 8/22/2022 | NBC Sports,0AjSt2I4Vj4,2022/8/22,sports,23668,2290,1499121,0.0017580219261099494
138,Top 100 Sports Plays of the Decade | 2010 - 2019 Best Moments,_eaK4DIxB5s,2019/12/22,sports,102369,10191,16099483,0.008175743577473827
139,Craziest &quot;Karma/Revenge&quot; Moments in Sports History,kwuIWZ9wRmw,2021/8/6,sports,60821,2638,12867358,0.003436896811009008
140,All Sports Golf Battle at The Masters,heIKaaamvdc,2022/4/2,sports,355223,6889,11181957,0.01222500558257738
141,Bournemouth v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,ftb3nlM9gKU,2022/8/20,sports,7866,550,619006,0.000463651213451328
142,High IQ Moments in Sports,AbnjSelQYV8,2021/8/30,sports,84728,1451,10909239,0.0034010344494647656
143,Liverpool v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 8/15/2022 | NBC Sports,vqRZ8z1MU3o,2022/8/16,sports,6920,640,665643,0.0005035009160293429
144,Impossible Sports Moments,jzJW0gTYB9k,2022/2/22,sports,22479,299,2020370,0.0008123458171111995
145,Best Of Boxing 2021 | Full Episode | SHOWTIME SPORTS,YClWEHi6mzY,2022/1/2,sports,6568,591,592998,0.0004665590928463179
